year,esfitted1norm,esfitted2norm,esfitted3norm,esfitted5norm
2020,1,1,1,1
2021,.96437007,.98202366,.98797929,.9927702
2022,.9300096,.96437007,.97610354,.98559272
2023,.89687353,.94703376,.96437007,.97846711
2024,.86491799,.9300096,.95277768,.97139305
2025,.83410102,.91329151,.94132501,.96437007
2026,.80438203,.89687353,.9300096,.95739788
2027,.77572161,.8807506,.91883022,.95047617
2028,.7480827,.86491799,.9077853,.94360441
2029,.72142863,.84936953,.89687353,.93678236
2030,.69572413,.8341006,.88609242,.9300096
2031,.67093557,.81910658,.87544096,.92328584
2032,.64703017,.80438203,.86491799,.91661072
2033,.62397653,.78992188,.85452104,.90998387
2034,.60174429,.77572161,.84424901,.90340495
2035,.58030421,.76177704,.83410102,.89687353
2036,.55962801,.74808311,.82407451,.89038926
2037,.53968853,.73463494,.81416851,.88395202
2038,.52045947,.72142863,.80438203,.87756127
2039,.50191557,.70845997,.79471278,.87121665
2040,.48403233,.69572449,.78515983,.86491799
