reg_id,consumption_share1,consumption_share2,consumption_share3,consumption_share4,consumption_share5,consumption_share6,consumption_share7,consumption_share8,consumption_share9,consumption_share10
ARE,.05456762,.29073057,.0051085022,.17529812,.06596455,.054508358,.047685903,.047685903,.12922521,.12922521
AT11,.018848851,.22296406,.01069451,.18185535,.068505608,.032965031,.065276191,.065276191,.16680709,.16680709
AT12,.018422749,.22433138,.010089804,.18820226,.068593211,.034520958,.067073874,.067073874,.16084592,.16084592
AT13,.012695833,.19947796,.0090533989,.18135771,.06372682,.032471336,.059774067,.059774067,.1908344,.1908344
AT21,.017265337,.21107092,.010148411,.18055689,.061636969,.032670986,.06136784,.06136784,.18195741,.18195741
AT22,.018151375,.21387184,.0099713253,.17701225,.065045655,.031543426,.063032433,.063032433,.17916963,.17916963
AT31,.017268607,.21528558,.0099471789,.1734648,.064132474,.032164134,.062377889,.062377889,.18149072,.18149072
AT32,.016194183,.20665148,.0095852595,.18272723,.061780844,.031766098,.061247997,.061247997,.18439947,.18439947
AT33,.016070375,.20723347,.0099903466,.18132745,.061383139,.032452542,.061616551,.061616551,.18415476,.18415476
AT34,.015738286,.21664444,.010556359,.17806366,.061474763,.032035075,.061812405,.061812405,.18093129,.18093129
AU101,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU102,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU103,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU104,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU105,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU106,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU107,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU108,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU109,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU110,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU111,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU112,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU113,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU114,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU115,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU116,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU117,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU118,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU119,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU120,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU121,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU122,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU123,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU124,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU125,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU126,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
